기간,자치구,구분,계,맑음,흐림,비,안개,눈,기타/불명
,,부상자,"2,594","2,230",150,175,3,33,3
,구로구,발생건수,"1,568","1,267",98,180,1,21,1
,,사망자,14,11,2,1,-,-,-
,,부상자,"2,270","1,837",136,264,1,31,1
,금천구,발생건수,"1,123",879,103,128,-,11,2
,,사망자,12,9,1,2,-,-,-
,,부상자,"1,702","1,310",163,211,-,15,3
,영등포구,발생건수,"2,253","1,730",260,217,2,40,4
,,사망자,30,25,3,2,-,-,-
,,부상자,"3,348","2,528",411,339,2,64,4
,동작구,발생건수,"1,131",860,111,120,-,24,16
,,사망자,13,11,1,1,-,-,-
,,부상자,"1,594","1,202",157,174,-,40,21
,관악구,발생건수,"1,851","1,494",142,165,-,46,4
,,사망자,16,15,-,1,-,-,-
,,부상자,"2,632","2,102",188,251,-,87,4
,서초구,발생건수,"2,152","1,721",157,217,1,26,30
,,사망자,20,14,3,1,-,2,-
,,부상자,"3,372","2,671",234,367,1,52,47
,강남구,발생건수,"3,551","2,971",142,312,5,53,68
,,사망자,31,26,-,5,-,-,-
,,부상자,"5,176","4,266",214,483,15,98,100
,송파구,발생건수,"2,573","2,169",126,241,1,31,5
,,사망자,16,15,-,1,-,-,-
,,부상자,"3,742","3,155",186,350,1,45,5
,강동구,발생건수,"1,410","1,153",91,133,1,26,6
,,사망자,14,13,1,-,-,-,-
,,부상자,"1,945","1,578",137,178,1,43,8
2011,합계,발생건수,"40,451","33,543","2,611","3,744",7,189,357
,,사망자,435,341,44,47,-,2,1
,,부상자,"57,625","47,443","3,726","5,677",12,282,485
,종로구,발생건수,"1,421","1,169",109,120,-,5,18
,,사망자,14,13,-,1,-,-,-
,,부상자,"1,994","1,636",167,160,-,6,25
,중구,발생건수,"1,497","1,253",122,117,-,3,2
,,사망자,13,12,-,1,-,-,-
,,부상자,"2,025","1,701",160,157,-,5,2
,용산구,발생건수,"1,170",922,64,121,1,7,55
,,사망자,9,7,2,-,-,-,-
,,부상자,"1,704","1,307",103,198,2,11,83
,성동구,발생건수,"1,154","1,012",60,68,-,3,11
,,사망자,21,17,4,-,-,-,-
,,부상자,"1,603","1,419",81,86,-,3,14
,광진구,발생건수,"1,430","1,165",91,142,-,7,25
,,사망자,23,19,-,4,-,-,-
,,부상자,"2,033","1,653",124,212,-,9,35
,동대문구,발생건수,"1,777","1,457",123,172,-,8,17
,,사망자,13,9,4,-,-,-,-
,,부상자,"2,431","1,971",167,261,-,10,22
,중랑구,발생건수,"1,782","1,529",84,160,-,8,1
,,사망자,12,8,1,3,-,-,-
,,부상자,"2,386","2,032",115,229,-,9,1
,성북구,발생건수,"1,569","1,298",104,154,-,5,8
,,사망자,22,16,3,3,-,-,-
,,부상자,"2,103","1,737",146,206,-,5,9
,강북구,발생건수,"1,174",885,144,137,-,4,4
,,사망자,7,6,1,-,-,-,-
,,부상자,"1,648","1,249",199,192,-,4,4
,도봉구,발생건수,933,798,55,71,1,5,3
,,사망자,15,14,-,-,-,1,-
,,부상자,"1,279","1,083",79,109,1,4,3
,노원구,발생건수,"1,529","1,264",107,142,1,8,7
,,사망자,14,11,1,2,-,-,-
,,부상자,"2,231","1,845",153,211,1,11,10
,은평구,발생건수,"1,509","1,248",125,120,1,7,8
,,사망자,20,16,3,1,-,-,-
,,부상자,"2,058","1,684",166,185,1,13,9
,서대문구,발생건수,"1,061",903,55,94,-,7,2
,,사망자,14,9,2,3,-,-,-
,,부상자,"1,496","1,273",71,140,-,9,3
,마포구,발생건수,"1,623","1,304",150,155,1,10,3
,,사망자,23,18,3,2,-,-,-
,,부상자,"2,530","2,018",209,282,1,16,4
,양천구,발생건수,"1,444","1,124",132,168,-,9,11
,,사망자,14,12,1,1,-,-,-
,,부상자,"2,006","1,560",179,245,-,9,13
,강서구,발생건수,"1,885","1,663",70,137,1,8,6
,,사망자,16,13,-,3,-,-,-
,,부상자,"2,740","2,406",102,212,2,10,8
,구로구,발생건수,"1,542","1,284",98,153,-,5,2
,,사망자,15,10,2,3,-,-,-
,,부상자,"2,226","1,840",157,218,-,9,2
,금천구,발생건수,"1,125",907,90,122,-,3,3
,,사망자,10,8,-,2,-,-,-
,,부상자,"1,649","1,301",137,205,-,3,3
,영등포구,발생건수,"2,310","1,808",249,234,-,13,6
,,사망자,28,21,4,3,-,-,-
,,부상자,"3,326","2,554",379,356,-,24,13
,동작구,발생건수,"1,192",937,117,109,-,9,20
,,사망자,13,11,1,1,-,-,-
,,부상자,"1,676","1,316",165,156,-,17,22
,관악구,발생건수,"1,737","1,483",77,160,-,11,6
,,사망자,17,10,2,5,-,-,-
,,부상자,"2,396","2,046",103,225,-,13,9
,서초구,발생건수,"2,048","1,721",102,194,-,18,13
,,사망자,17,15,2,-,-,-,-
,,부상자,"3,189","2,652",161,327,-,31,18
,강남구,발생건수,"3,562","3,000",114,321,1,11,115
,,사망자,36,29,3,2,-,1,1
,,부상자,"5,184","4,320",164,518,4,24,154
,송파구,발생건수,"2,554","2,236",83,217,-,10,8
,,사망자,36,30,3,3,-,-,-
,,부상자,"3,632","3,166",108,333,-,14,11
,강동구,발생건수,"1,423","1,173",86,156,-,5,3
,,사망자,13,7,2,4,-,-,-
,,부상자,"2,080","1,674",131,254,-,13,8
2012,합계,발생건수,"40,829","34,593","2,065","3,408",14,423,326
,,사망자,424,336,25,59,-,4,-
,,부상자,"58,583","49,113","3,106","5,199",26,658,481
,종로구,발생건수,"1,374","1,151",77,126,-,12,8
,,사망자,12,10,-,2,-,-,-
,,부상자,"1,994","1,642",107,214,-,16,15
,중구,발생건수,"1,458","1,259",82,102,-,9,6
,,사망자,12,10,1,1,-,-,-
,,부상자,"2,018","1,719",126,156,-,9,8
,용산구,발생건수,"1,203",997,50,116,1,17,22
,,사망자,11,7,2,2,-,-,-
,,부상자,"1,809","1,486",91,173,1,27,31
,성동구,발생건수,986,846,27,73,-,15,25
,,사망자,6,4,-,2,-,-,-
,,부상자,"1,400","1,176",46,125,-,19,34
,광진구,발생건수,"1,494","1,255",78,114,-,15,32
,,사망자,17,11,1,5,-,-,-
,,부상자,"2,190","1,835",116,168,-,26,45
,동대문구,발생건수,"1,881","1,589",121,156,-,15,-
,,사망자,20,15,2,3,-,-,-
,,부상자,"2,511","2,105",161,222,-,23,-
,중랑구,발생건수,"1,753","1,507",102,125,-,16,3
,,사망자,11,9,1,1,-,-,-
,,부상자,"2,401","2,045",148,184,-,21,3
,성북구,발생건수,"1,572","1,322",75,153,-,15,7
,,사망자,11,9,2,-,-,-,-
,,부상자,"2,055","1,691",100,230,-,20,14
,강북구,발생건수,"1,212",997,84,114,2,15,-
,,사망자,9,8,1,-,-,-,-
,,부상자,"1,680","1,354",122,180,2,22,-
,도봉구,발생건수,983,837,32,87,-,8,19
,,사망자,16,13,2,1,-,-,-
,,부상자,"1,294","1,103",43,102,-,11,35
,노원구,발생건수,"1,623","1,367",109,135,-,11,1
,,사망자,13,12,-,1,-,-,-
,,부상자,"2,330","1,934",166,210,-,19,1
,은평구,발생건수,"1,519","1,261",104,117,2,15,20
,,사망자,21,15,2,4,-,-,-
,,부상자,"2,197","1,790",165,190,4,18,30
,서대문구,발생건수,"1,041",912,43,74,-,11,1
,,사망자,13,12,-,-,-,1,-
,,부상자,"1,645","1,424",73,118,-,29,1
,마포구,발생건수,"1,561","1,286",128,123,2,17,5
,,사망자,23,20,1,2,-,-,-
,,부상자,"2,363","1,890",209,218,3,36,7
,양천구,발생건수,"1,418","1,136",96,153,-,17,16
,,사망자,14,11,1,2,-,-,-
,,부상자,"2,036","1,614",133,237,-,23,29
,강서구,발생건수,"1,767","1,537",88,117,1,19,5
,,사망자,25,18,1,6,-,-,-
,,부상자,"2,573","2,216",133,182,1,30,11
,구로구,발생건수,"1,582","1,354",79,136,-,7,6
,,사망자,21,19,2,-,-,-,-
,,부상자,"2,366","2,018",120,205,-,13,10
,금천구,발생건수,"1,017",865,36,100,-,13,3
,,사망자,21,16,-,4,-,1,-
,,부상자,"1,540","1,291",61,159,-,26,3
,영등포구,발생건수,"2,179","1,736",170,240,1,31,1
,,사망자,32,24,2,6,-,-,-
,,부상자,"3,206","2,542",254,359,6,44,1
,동작구,발생건수,"1,258","1,082",45,112,-,15,4
,,사망자,14,11,-,2,-,1,-
,,부상자,"1,707","1,463",61,154,-,25,4
,관악구,발생건수,"1,713","1,478",72,138,-,16,9
,,사망자,20,16,1,2,-,1,-
,,부상자,"2,299","1,969",101,189,-,29,11
,서초구,발생건수,"2,090","1,795",80,191,-,22,2
,,사망자,25,20,1,4,-,-,-
,,부상자,"3,214","2,730",113,331,-,38,2
,강남구,발생건수,"3,843","3,279",122,295,2,42,103
,,사망자,25,19,1,5,-,-,-
,,부상자,"5,666","4,809",195,446,5,62,149
,송파구,발생건수,"2,844","2,501",103,185,3,37,15
,,사망자,14,12,1,1,-,-,-
,,부상자,"4,060","3,564",154,265,4,55,18
,강동구,발생건수,"1,458","1,244",62,126,-,13,13
,,사망자,18,15,-,3,-,-,-
,,부상자,"2,029","1,703",108,182,-,17,19
2013,합계,발생건수,"39,439","33,287","2,329","3,019",9,322,473
,,사망자,378,295,38,36,-,-,9
,,부상자,"56,761","47,634","3,435","4,502",12,529,649
,종로구,발생건수,"1,274","1,075",81,112,1,4,1
,,사망자,13,11,1,1,-,-,-
,,부상자,"1,770","1,493",108,161,3,4,1
,중구,발생건수,"1,442","1,178",138,108,-,10,8
,,사망자,10,9,-,1,-,-,-
,,부상자,"1,975","1,626",180,143,-,15,11
,용산구,발생건수,"1,391","1,190",44,97,-,14,46
,,사망자,13,9,2,2,-,-,-
,,부상자,"2,023","1,713",68,157,-,21,64
,성동구,발생건수,"1,100",947,38,73,-,5,37
,,사망자,8,6,1,1,-,-,-
,,부상자,"1,458","1,246",54,101,-,5,52
,광진구,발생건수,"1,303","1,155",36,96,-,5,11
,,사망자,10,9,1,-,-,-,-
,,부상자,"1,916","1,703",51,141,-,7,14
,동대문구,발생건수,"1,970","1,601",166,159,-,7,37
,,사망자,16,11,2,2,-,-,1
,,부상자,"2,524","2,047",221,197,-,9,50
,중랑구,발생건수,"1,716","1,516",73,114,1,11,1
,,사망자,9,8,-,1,-,-,-
,,부상자,"2,369","2,093",99,157,1,18,1
,성북구,발생건수,"1,536","1,292",100,124,1,15,4
,,사망자,9,9,-,-,-,-,-
,,부상자,"2,149","1,780",152,178,1,33,5
,강북구,발생건수,"1,107",860,152,85,-,8,2
,,사망자,10,7,3,-,-,-,-
,,부상자,"1,525","1,183",217,112,-,10,3
,도봉구,발생건수,934,736,70,60,-,9,59
,,사망자,8,7,-,-,-,-,1
,,부상자,"1,259",997,95,75,-,13,79
,노원구,발생건수,"1,522","1,271",106,126,-,18,1
,,사망자,13,11,-,2,-,-,-
,,부상자,"2,175","1,811",158,176,-,29,1
,은평구,발생건수,"1,270","1,052",78,101,-,16,23
,,사망자,10,8,-,-,-,-,2
,,부상자,"1,716","1,396",106,151,-,24,39
,서대문구,발생건수,"1,081",926,47,89,-,16,3
,,사망자,14,8,4,2,-,-,-
,,부상자,"1,578","1,355",71,126,-,23,3
,마포구,발생건수,"1,747","1,534",84,109,-,19,1
,,사망자,23,19,3,1,-,-,-
,,부상자,"2,732","2,409",116,173,-,33,1
,양천구,발생건수,"1,340","1,076",98,136,1,14,15
,,사망자,14,9,3,2,-,-,-
,,부상자,"1,905","1,487",161,221,1,15,20
