기간,자치구,구분,계,맑음,흐림,비,안개,눈,기타/불명
,,부상자,"1,466","1,271",76,104,-,5,10
,동대문구,발생건수,"2,051","1,776",131,137,-,2,5
,,사망자,14,13,1,-,-,-,-
,,부상자,"2,629","2,239",192,183,-,8,7
,중랑구,발생건수,"1,535","1,390",34,85,-,7,19
,,사망자,9,8,1,-,-,-,-
,,부상자,"2,030","1,832",43,120,-,13,22
,성북구,발생건수,"1,618","1,414",107,96,-,1,-
,,사망자,13,12,-,1,-,-,-
,,부상자,"2,106","1,831",150,124,-,1,-
,강북구,발생건수,"1,227","1,014",121,84,-,3,5
,,사망자,15,11,4,-,-,-,-
,,부상자,"1,678","1,379",163,128,-,3,5
,도봉구,발생건수,949,832,26,75,-,2,14
,,사망자,11,10,-,1,-,-,-
,,부상자,"1,306","1,128",43,117,-,2,16
,노원구,발생건수,"1,535","1,378",47,103,-,7,-
,,사망자,13,13,-,-,-,-,-
,,부상자,"2,216","1,965",76,166,-,9,-
,은평구,발생건수,"1,121",974,57,76,-,8,6
,,사망자,14,12,-,2,-,-,-
,,부상자,"1,518","1,321",82,99,-,9,7
,서대문구,발생건수,"1,135",981,102,51,-,1,-
,,사망자,14,10,3,1,-,-,-
,,부상자,"1,566","1,337",157,71,-,1,-
,마포구,발생건수,"1,768","1,556",83,117,-,8,4
,,사망자,15,11,1,3,-,-,-
,,부상자,"2,605","2,294",126,163,-,17,5
,양천구,발생건수,"1,493","1,306",85,90,-,7,5
,,사망자,12,11,1,-,-,-,-
,,부상자,"2,056","1,771",142,130,-,8,5
,강서구,발생건수,"1,691","1,588",29,62,-,4,8
,,사망자,13,12,1,-,-,-,-
,,부상자,"2,230","2,088",44,85,-,4,9
,구로구,발생건수,"1,511","1,355",46,101,1,7,1
,,사망자,9,7,1,1,-,-,-
,,부상자,"2,139","1,924",74,132,1,7,1
,금천구,발생건수,799,699,26,45,-,5,24
,,사망자,15,14,-,1,-,-,-
,,부상자,"1,133",995,34,63,-,7,34
,영등포구,발생건수,"2,403","2,136",74,174,-,8,11
,,사망자,22,18,-,4,-,-,-
,,부상자,"3,473","3,098",111,237,-,14,13
,동작구,발생건수,"1,471","1,343",39,78,-,8,3
,,사망자,19,17,1,1,-,-,-
,,부상자,"2,028","1,848",57,106,-,13,4
,관악구,발생건수,"1,408","1,216",37,68,-,5,82
,,사망자,19,15,-,1,-,-,3
,,부상자,"1,895","1,626",49,104,-,5,111
,서초구,발생건수,"2,313","2,101",55,146,-,7,4
,,사망자,16,10,2,4,-,-,-
,,부상자,"3,473","3,154",88,215,-,12,4
,강남구,발생건수,"3,828","3,370",85,247,1,12,113
,,사망자,12,11,-,1,-,-,-
,,부상자,"5,445","4,775",126,359,1,14,170
,송파구,발생건수,"2,598","2,315",100,156,3,8,16
,,사망자,14,9,3,2,-,-,-
,,부상자,"3,646","3,252",132,226,6,12,18
,강동구,발생건수,"1,426","1,243",60,107,-,6,10
,,사망자,17,10,1,6,-,-,-
,,부상자,"1,957","1,705",80,152,-,7,13
2017,합계,발생건수,"38,625","34,622","1,652","1,884",9,217,241
,,사망자,343,294,23,21,-,3,2
,,부상자,"53,810","48,119","2,285","2,739",17,335,315
,종로구,발생건수,"1,190","1,083",42,56,-,9,-
,,사망자,13,11,1,1,-,-,-
,,부상자,"1,689","1,535",64,80,-,10,-
,중구,발생건수,"1,252","1,125",59,61,-,4,3
,,사망자,4,4,-,-,-,-,-
,,부상자,"1,684","1,510",87,76,-,6,5
,용산구,발생건수,"1,337","1,245",39,48,-,5,-
,,사망자,12,11,1,-,-,-,-
,,부상자,"1,949","1,790",63,66,-,30,-
,성동구,발생건수,"1,076",951,68,49,4,3,1
,,사망자,15,15,-,-,-,-,-
,,부상자,"1,501","1,324",92,73,8,3,1
,광진구,발생건수,"1,064",965,22,46,-,4,27
,,사망자,16,12,1,2,-,-,1
,,부상자,"1,441","1,316",33,55,-,8,29
,동대문구,발생건수,"1,718","1,479",147,81,-,6,5
,,사망자,25,20,2,3,-,-,-
,,부상자,"2,139","1,844",178,105,-,7,5
,중랑구,발생건수,"1,639","1,506",51,51,1,10,20
,,사망자,6,5,-,1,-,-,-
,,부상자,"2,228","2,045",69,80,1,11,22
,성북구,발생건수,"1,557","1,352",91,102,2,9,1
,,사망자,17,13,3,1,-,-,-
,,부상자,"2,068","1,811",98,141,3,14,1
,강북구,발생건수,"1,202",992,108,65,-,13,24
,,사망자,9,8,1,-,-,-,-
,,부상자,"1,567","1,291",139,82,-,26,29
,도봉구,발생건수,944,807,70,61,-,4,2
,,사망자,9,8,1,-,-,-,-
,,부상자,"1,239","1,053",98,80,-,5,3
,노원구,발생건수,"1,499","1,348",39,99,-,13,-
,,사망자,11,10,1,-,-,-,-
,,부상자,"2,055","1,829",67,136,-,23,-
,은평구,발생건수,"1,067",930,64,55,-,8,10
,,사망자,12,9,1,2,-,-,-
,,부상자,"1,489","1,310",84,75,-,8,12
,서대문구,발생건수,"1,032",946,48,33,-,5,-
,,사망자,8,7,1,-,-,-,-
,,부상자,"1,430","1,298",76,49,-,7,-
,마포구,발생건수,"1,859","1,724",35,88,1,11,-
,,사망자,8,8,-,-,-,-,-
,,부상자,"2,793","2,574",50,153,1,15,-
,양천구,발생건수,"1,343","1,196",57,83,-,6,1
,,사망자,13,11,1,1,-,-,-
,,부상자,"1,789","1,576",77,124,-,9,3
,강서구,발생건수,"1,584","1,442",60,60,1,7,14
,,사망자,12,10,1,1,-,-,-
,,부상자,"2,155","1,961",77,86,4,11,16
,구로구,발생건수,"1,433","1,301",42,70,-,11,9
,,사망자,12,11,1,-,-,-,-
,,부상자,"1,960","1,761",63,110,-,12,14
,금천구,발생건수,824,720,25,35,-,5,39
,,사망자,6,5,-,1,-,-,-
,,부상자,"1,228","1,060",31,63,-,12,62
,영등포구,발생건수,"2,386","2,182",71,119,-,11,3
,,사망자,22,19,3,-,-,-,-
,,부상자,"3,519","3,198",112,191,-,15,3
,동작구,발생건수,"1,409","1,272",61,63,-,11,2
,,사망자,20,19,-,-,-,1,-
,,부상자,"2,043","1,845",94,84,-,18,2
,관악구,발생건수,"1,251","1,150",37,37,-,9,18
,,사망자,11,9,-,-,-,1,1
,,부상자,"1,659","1,512",53,57,-,10,27
,서초구,발생건수,"2,361","2,151",84,108,-,12,6
,,사망자,21,15,1,4,-,1,-
,,부상자,"3,548","3,221",119,188,-,13,7
,강남구,발생건수,"3,469","3,132",81,192,-,24,40
,,사망자,19,18,-,1,-,-,-
,,부상자,"4,959","4,473",128,270,-,37,51
,송파구,발생건수,"2,758","2,446",142,142,-,12,16
,,사망자,23,21,-,2,-,-,-
,,부상자,"3,805","3,346",207,211,-,18,23
,강동구,발생건수,"1,371","1,177",109,80,-,5,-
,,사망자,19,15,3,1,-,-,-
,,부상자,"1,873","1,636",126,104,-,7,-
2018,합계,발생건수,"38,795","34,055","1,640","2,465",2,195,438
,,사망자,304,258,20,22,1,2,1
,,부상자,"53,751","47,039","2,359","3,446",1,300,606
,종로구,발생건수,"1,134","1,025",32,69,-,8,-
,,사망자,6,6,-,-,-,-,-
,,부상자,"1,546","1,385",46,105,-,10,-
,중구,발생건수,"1,128","1,002",47,68,-,5,6
,,사망자,9,8,1,-,-,-,-
,,부상자,"1,506","1,340",63,86,-,8,9
,용산구,발생건수,"1,330","1,202",44,69,-,6,9
,,사망자,14,12,2,-,-,-,-
,,부상자,"1,852","1,682",62,89,-,6,13
,성동구,발생건수,"1,143","1,001",65,69,-,8,-
,,사망자,9,8,-,-,-,1,-
,,부상자,"1,561","1,371",82,100,-,8,-
,광진구,발생건수,"1,108",981,33,77,-,6,11
,,사망자,10,9,-,1,-,-,-
,,부상자,"1,474","1,287",50,108,-,13,16
,동대문구,발생건수,"1,699","1,494",93,86,-,5,21
,,사망자,14,13,1,-,-,-,-
,,부상자,"2,160","1,896",123,109,-,6,26
,중랑구,발생건수,"1,565","1,394",71,79,-,7,14
,,사망자,10,7,1,1,-,-,1
,,부상자,"2,135","1,892",110,97,-,14,22
,성북구,발생건수,"1,427","1,209",111,97,-,10,-
,,사망자,14,13,1,-,-,-,-
,,부상자,"1,980","1,659",152,157,-,12,-
,강북구,발생건수,"1,216",963,166,73,-,11,3
,,사망자,13,7,5,1,-,-,-
,,부상자,"1,633","1,283",225,107,-,15,3
,도봉구,발생건수,824,709,45,66,-,4,-
,,사망자,6,5,-,1,-,-,-
,,부상자,"1,061",906,63,85,-,7,-
,노원구,발생건수,"1,569","1,324",94,125,-,10,16
,,사망자,14,14,-,-,-,-,-
,,부상자,"2,227","1,858",138,196,-,11,24
,은평구,발생건수,"1,134","1,013",40,71,-,5,5
,,사망자,12,12,-,-,-,-,-
,,부상자,"1,580","1,419",56,91,-,7,7
,서대문구,발생건수,"1,033",911,70,50,-,1,1
,,사망자,5,4,1,-,-,-,-
,,부상자,"1,403","1,228",101,72,-,1,1
,마포구,발생건수,"1,671","1,518",27,101,-,8,17
,,사망자,11,9,1,1,-,-,-
,,부상자,"2,429","2,217",39,138,-,11,24
,양천구,발생건수,"1,428","1,265",46,107,1,9,-
,,사망자,11,8,-,1,1,1,-
,,부상자,"1,939","1,674",57,167,-,41,-
,강서구,발생건수,"1,502","1,314",70,104,-,9,5
,,사망자,11,8,2,1,-,-,-
,,부상자,"2,208","1,905",121,162,-,15,5
,구로구,발생건수,"1,532","1,375",34,108,-,4,11
,,사망자,13,12,-,1,-,-,-
,,부상자,"2,129","1,917",50,139,-,7,16
,금천구,발생건수,932,788,31,86,-,7,20
,,사망자,6,5,-,1,-,-,-
,,부상자,"1,326","1,110",47,123,-,9,37
,영등포구,발생건수,"2,493","2,272",66,142,-,7,6
,,사망자,22,21,-,1,-,-,-
,,부상자,"3,532","3,217",95,203,-,10,7
,동작구,발생건수,"1,412","1,251",43,105,-,11,2
,,사망자,9,8,-,1,-,-,-
,,부상자,"1,892","1,687",52,136,-,13,4
,관악구,발생건수,"1,300","1,091",37,91,-,5,76
,,사망자,8,7,-,1,-,-,-
,,부상자,"1,717","1,429",63,123,-,5,97
,서초구,발생건수,"2,478","2,226",70,148,1,17,16
,,사망자,18,15,1,2,-,-,-
,,부상자,"3,640","3,284",115,192,1,30,18
,강남구,발생건수,"3,459","3,004",87,191,-,13,164
,,사망자,20,15,1,4,-,-,-
,,부상자,"4,967","4,315",119,279,-,20,234
,송파구,발생건수,"2,860","2,484",151,186,-,9,30
,,사망자,27,22,2,3,-,-,-
,,부상자,"3,932","3,401",221,264,-,10,36
,강동구,발생건수,"1,418","1,239",67,97,-,10,5
,,사망자,12,10,1,1,-,-,-
,,부상자,"1,922","1,677",109,118,-,11,7
