기간,지역,어린이 교통사고,,,어린이보호구역내 어린이 교통사고,,,어린이 보행 사상자,
,,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,사망자수,부상자수
,마포구,53,-,57,3,-,3,-,22
,양천구,89,-,98,4,-,4,-,45
,강서구,86,-,99,2,-,2,-,38
,구로구,88,-,97,10,-,10,-,47
,금천구,54,-,64,2,-,2,-,27
,영등포구,73,-,91,5,-,5,-,27
,동작구,65,-,80,6,-,6,-,39
,관악구,48,-,55,2,-,2,-,22
,서초구,78,-,95,1,-,1,-,30
,강남구,96,-,124,1,-,1,-,35
,송파구,138,-,152,4,-,4,-,61
,강동구,89,-,99,7,-,8,-,52
2015,합계,"1,619",6,"1,865",90,1,90,5,748
,종로구,30,-,32,2,-,2,-,15
,중구,27,-,33,-,-,-,-,7
,용산구,39,-,44,3,-,3,-,15
,성동구,35,-,40,2,-,2,-,21
,광진구,41,-,46,1,-,1,-,23
,동대문구,64,-,70,2,-,2,-,29
,중랑구,87,-,93,6,-,7,-,43
,성북구,75,1,84,7,-,7,1,40
,강북구,59,-,67,2,-,2,-,25
,도봉구,50,1,54,8,-,8,1,32
,노원구,81,-,93,6,-,6,-,42
,은평구,68,-,80,6,-,6,-,33
,서대문구,51,-,54,4,-,4,-,29
,마포구,66,-,73,-,-,-,-,28
,양천구,75,1,87,9,-,9,-,37
,강서구,85,1,94,6,-,6,1,41
,구로구,68,-,88,6,-,6,-,33
,금천구,50,1,60,2,1,1,1,25
,영등포구,80,-,93,2,-,2,-,23
,동작구,48,-,54,4,-,4,-,25
,관악구,50,-,53,2,-,2,-,28
,서초구,70,1,89,3,-,3,1,24
,강남구,90,-,110,2,-,2,-,36
,송파구,138,-,168,2,-,2,-,51
,강동구,92,-,106,3,-,3,-,43
2016,합계,"1,515",6,"1,812",96,2,101,6,669
,종로구,22,-,25,4,-,4,-,8
,중구,25,-,31,-,-,-,-,7
,용산구,38,-,45,1,-,1,-,11
,성동구,45,-,51,-,-,-,-,20
,광진구,49,-,56,4,-,4,-,22
,동대문구,63,-,71,2,-,2,-,23
,중랑구,66,1,78,-,-,-,1,28
,성북구,58,-,64,10,-,10,-,33
,강북구,42,-,49,5,-,5,-,24
,도봉구,52,-,60,6,-,6,-,22
,노원구,90,-,108,2,-,4,-,43
,은평구,52,-,59,9,-,9,-,33
,서대문구,42,-,51,-,-,-,-,13
,마포구,62,-,81,2,-,2,-,19
,양천구,74,-,86,4,-,4,-,27
,강서구,73,-,89,1,-,1,-,34
,구로구,66,-,79,9,-,10,-,32
,금천구,37,-,39,6,-,6,-,23
,영등포구,79,-,102,3,-,4,-,35
,동작구,63,-,77,6,-,6,-,33
,관악구,42,4,63,3,2,1,4,21
,서초구,71,1,85,2,-,2,1,16
,강남구,92,-,111,6,-,6,-,40
,송파구,134,-,160,4,-,6,-,60
,강동구,78,-,92,7,-,8,-,42
2017,합계,"1,466",1,"1,745",81,1,85,1,629
,종로구,34,-,40,3,-,3,-,13
,중구,25,-,29,1,-,1,-,9
,용산구,35,-,48,-,-,-,-,15
,성동구,28,-,50,1,-,1,-,9
,광진구,42,-,45,4,-,5,-,24
,동대문구,44,-,47,2,-,2,-,22
,중랑구,66,-,79,1,-,1,-,33
,성북구,64,-,68,4,-,5,-,33
,강북구,47,-,53,-,-,-,-,25
,도봉구,47,-,50,5,-,6,-,18
,노원구,76,-,90,2,-,2,-,35
,은평구,54,-,65,5,-,5,-,33
,서대문구,31,-,35,2,-,2,-,15
,마포구,59,-,67,1,-,1,-,23
,양천구,84,-,96,5,-,5,-,40
,강서구,62,-,73,4,-,4,-,27
,구로구,68,-,94,10,-,11,-,29
,금천구,44,-,51,-,-,-,-,18
,영등포구,89,-,117,4,-,4,-,20
,동작구,46,-,54,4,-,4,-,17
,관악구,32,-,34,2,-,3,-,21
,서초구,93,-,112,1,-,1,-,34
,강남구,103,-,123,9,-,9,-,41
,송파구,131,-,154,3,-,3,-,46
,강동구,62,1,71,8,1,7,1,29
2018,합계,"1,331",2,"1,588",77,1,76,1,572
,종로구,28,-,33,6,-,6,-,8
,중구,23,-,25,-,-,-,-,4
,용산구,34,-,39,-,-,-,-,12
,성동구,28,-,31,2,-,2,-,15
,광진구,43,-,51,2,-,2,-,21
,동대문구,42,-,46,-,-,-,-,18
,중랑구,68,-,79,6,-,6,-,34
,성북구,64,-,82,3,-,3,-,29
,강북구,42,-,52,-,-,-,-,15
,도봉구,34,-,38,5,-,5,-,18
,노원구,73,-,87,2,-,2,-,29
,은평구,56,-,84,5,-,5,-,28
,서대문구,32,-,36,-,-,-,-,13
,마포구,45,-,50,2,-,2,-,21
,양천구,72,-,85,3,-,3,-,36
,강서구,64,-,73,6,-,6,-,30
,구로구,63,-,77,9,-,9,-,23
,금천구,26,-,36,1,-,1,-,7
,영등포구,85,-,96,5,-,5,-,37
,동작구,43,1,48,4,1,3,1,25
,관악구,35,-,37,3,-,3,-,25
,서초구,77,-,95,6,-,6,-,26
,강남구,86,1,118,5,-,5,-,33
,송파구,110,-,126,1,-,1,-,41
,강동구,58,-,64,1,-,1,-,24
